  Time                 , V(C1:2)              , V(V1:+)              
  5.000000000020e-003  ,1.288334302328e+000  ,9.999813477268e-008  
  5.000100000018e-003  ,1.288166607328e+000  ,5.000000899988e-001  
  5.000300009364e-003  ,1.288256734980e+000  ,1.500046820039e+000  
  5.000700028056e-003  ,1.289287694929e+000  ,3.500140280123e+000  
  5.001000000020e-003  ,1.291176776608e+000  ,5.000000000000e+000  
  5.001080003758e-003  ,1.291807987722e+000  ,5.000000000000e+000  
  5.001240006467e-003  ,1.293070157488e+000  ,5.000000000000e+000  
  5.001560011884e-003  ,1.295593208413e+000  ,5.000000000000e+000  
  5.002200022717e-003  ,1.300634160216e+000  ,5.000000000000e+000  
  5.003200045606e-003  ,1.308496966638e+000  ,5.000000000000e+000  
  5.004200068494e-003  ,1.316343061081e+000  ,5.000000000000e+000  
  5.005200091382e-003  ,1.324172479065e+000  ,5.000000000000e+000  
  5.006200114270e-003  ,1.331985256035e+000  ,5.000000000000e+000  
  5.007200137158e-003  ,1.339781427361e+000  ,5.000000000000e+000  
  5.008200160047e-003  ,1.347561028338e+000  ,5.000000000000e+000  
  5.009200182935e-003  ,1.355324094184e+000  ,5.000000000000e+000  
  5.010200205823e-003  ,1.363070660044e+000  ,5.000000000000e+000  
  5.011200228711e-003  ,1.370800760988e+000  ,5.000000000000e+000  
  5.012200251599e-003  ,1.378514432011e+000  ,5.000000000000e+000  
  5.013200274487e-003  ,1.386211708035e+000  ,5.000000000000e+000  
  5.014200297376e-003  ,1.393892623905e+000  ,5.000000000000e+000  
  5.015200320264e-003  ,1.401557214396e+000  ,5.000000000000e+000  
  5.016200343152e-003  ,1.409205514204e+000  ,5.000000000000e+000  
  5.017200366040e-003  ,1.416837557956e+000  ,5.000000000000e+000  
  5.018200388928e-003  ,1.424453380202e+000  ,5.000000000000e+000  
  5.019200411817e-003  ,1.432053015421e+000  ,5.000000000000e+000  
  5.020200434705e-003  ,1.439636498018e+000  ,5.000000000000e+000  
  5.021200457593e-003  ,1.447203862323e+000  ,5.000000000000e+000  
  5.022200480481e-003  ,1.454755142596e+000  ,5.000000000000e+000  
  5.023200503369e-003  ,1.462290373022e+000  ,5.000000000000e+000  
  5.024200526257e-003  ,1.469809587714e+000  ,5.000000000000e+000  
  5.025200549146e-003  ,1.477312820713e+000  ,5.000000000000e+000  
  5.026200572034e-003  ,1.484800105987e+000  ,5.000000000000e+000  
  5.027200594922e-003  ,1.492271477433e+000  ,5.000000000000e+000  
  5.028200617810e-003  ,1.499726968873e+000  ,5.000000000000e+000  
  5.029200640698e-003  ,1.507166614061e+000  ,5.000000000000e+000  
  5.030200663587e-003  ,1.514590446676e+000  ,5.000000000000e+000  
  5.031200686475e-003  ,1.521998500328e+000  ,5.000000000000e+000  
  5.032200709363e-003  ,1.529390808554e+000  ,5.000000000000e+000  
  5.033200732251e-003  ,1.536767404820e+000  ,5.000000000000e+000  
  5.034200755139e-003  ,1.544128322520e+000  ,5.000000000000e+000  
  5.035200778028e-003  ,1.551473594979e+000  ,5.000000000000e+000  
  5.036200800916e-003  ,1.558803255450e+000  ,5.000000000000e+000  
  5.037200823804e-003  ,1.566117337116e+000  ,5.000000000000e+000  
  5.038200846692e-003  ,1.573415873088e+000  ,5.000000000000e+000  
  5.039200869580e-003  ,1.580698896407e+000  ,5.000000000000e+000  
  5.040200892468e-003  ,1.587966440046e+000  ,5.000000000000e+000  
  5.041200915357e-003  ,1.595218536905e+000  ,5.000000000000e+000  
  5.042200938245e-003  ,1.602455219816e+000  ,5.000000000000e+000  
  5.043200961133e-003  ,1.609676521540e+000  ,5.000000000000e+000  
  5.044200984021e-003  ,1.616882474769e+000  ,5.000000000000e+000  
  5.045201006909e-003  ,1.624073112126e+000  ,5.000000000000e+000  
  5.046201029798e-003  ,1.631248466163e+000  ,5.000000000000e+000  
  5.047201052686e-003  ,1.638408569365e+000  ,5.000000000000e+000  
  5.048201075574e-003  ,1.645553454146e+000  ,5.000000000000e+000  
  5.049201098462e-003  ,1.652683152853e+000  ,5.000000000000e+000  
  5.050201121350e-003  ,1.659797697762e+000  ,5.000000000000e+000  
  5.051201144238e-003  ,1.666897121082e+000  ,5.000000000000e+000  
  5.052201167127e-003  ,1.673981454954e+000  ,5.000000000000e+000  
  5.053201190015e-003  ,1.681050731448e+000  ,5.000000000000e+000  
  5.054201212903e-003  ,1.688104982569e+000  ,5.000000000000e+000  
  5.055201235791e-003  ,1.695144240253e+000  ,5.000000000000e+000  
  5.056201258679e-003  ,1.702168536367e+000  ,5.000000000000e+000  
  5.057201281568e-003  ,1.709177902711e+000  ,5.000000000000e+000  
  5.058201304456e-003  ,1.716172371017e+000  ,5.000000000000e+000  
  5.059201327344e-003  ,1.723151972951e+000  ,5.000000000000e+000  
  5.060201350232e-003  ,1.730116740110e+000  ,5.000000000000e+000  
  5.061201373120e-003  ,1.737066704025e+000  ,5.000000000000e+000  
  5.062201396008e-003  ,1.744001896160e+000  ,5.000000000000e+000  
  5.063201418897e-003  ,1.750922347910e+000  ,5.000000000000e+000  
  5.064201441785e-003  ,1.757828090606e+000  ,5.000000000000e+000  
  5.065201464673e-003  ,1.764719155512e+000  ,5.000000000000e+000  
  5.066201487561e-003  ,1.771595573823e+000  ,5.000000000000e+000  
  5.067201510449e-003  ,1.778457376671e+000  ,5.000000000000e+000  
  5.068201533338e-003  ,1.785304595120e+000  ,5.000000000000e+000  
  5.069201556226e-003  ,1.792137260168e+000  ,5.000000000000e+000  
  5.070201579114e-003  ,1.798955402748e+000  ,5.000000000000e+000  
  5.071201602002e-003  ,1.805759053727e+000  ,5.000000000000e+000  
  5.072201624890e-003  ,1.812548243906e+000  ,5.000000000000e+000  
  5.073201647778e-003  ,1.819323004019e+000  ,5.000000000000e+000  
  5.074201670667e-003  ,1.826083364739e+000  ,5.000000000000e+000  
  5.075201693555e-003  ,1.832829356669e+000  ,5.000000000000e+000  
  5.076201716443e-003  ,1.839561010351e+000  ,5.000000000000e+000  
  5.077201739331e-003  ,1.846278356258e+000  ,5.000000000000e+000  
  5.078201762219e-003  ,1.852981424802e+000  ,5.000000000000e+000  
  5.079201785108e-003  ,1.859670246329e+000  ,5.000000000000e+000  
  5.080201807996e-003  ,1.866344851119e+000  ,5.000000000000e+000  
  5.081201830884e-003  ,1.873005269389e+000  ,5.000000000000e+000  
  5.082201853772e-003  ,1.879651531293e+000  ,5.000000000000e+000  
  5.083201876660e-003  ,1.886283666919e+000  ,5.000000000000e+000  
  5.084201899549e-003  ,1.892901706291e+000  ,5.000000000000e+000  
  5.085201922437e-003  ,1.899505679371e+000  ,5.000000000000e+000  
  5.086201945325e-003  ,1.906095616055e+000  ,5.000000000000e+000  
  5.087201968213e-003  ,1.912671546177e+000  ,5.000000000000e+000  
  5.088201991101e-003  ,1.919233499508e+000  ,5.000000000000e+000  
  5.089202013989e-003  ,1.925781505754e+000  ,5.000000000000e+000  
  5.090202036878e-003  ,1.932315594559e+000  ,5.000000000000e+000  
  5.091202059766e-003  ,1.938835795504e+000  ,5.000000000000e+000  
  5.092202082654e-003  ,1.945342138106e+000  ,5.000000000000e+000  
  5.093202105542e-003  ,1.951834651822e+000  ,5.000000000000e+000  
  5.094202128430e-003  ,1.958313366043e+000  ,5.000000000000e+000  
  5.095202151319e-003  ,1.964778310100e+000  ,5.000000000000e+000  
  5.096202174207e-003  ,1.971229513260e+000  ,5.000000000000e+000  
  5.097202197095e-003  ,1.977667004728e+000  ,5.000000000000e+000  
  5.098202219983e-003  ,1.984090813650e+000  ,5.000000000000e+000  
  5.099202242871e-003  ,1.990500969105e+000  ,5.000000000000e+000  
  5.100202265759e-003  ,1.996897500114e+000  ,5.000000000000e+000  
  5.101202288648e-003  ,2.003280435634e+000  ,5.000000000000e+000  
  5.102202311536e-003  ,2.009649804563e+000  ,5.000000000000e+000  
  5.103202334424e-003  ,2.016005635735e+000  ,5.000000000000e+000  
  5.104202357312e-003  ,2.022347957924e+000  ,5.000000000000e+000  
  5.105202380200e-003  ,2.028676799842e+000  ,5.000000000000e+000  
  5.106202403089e-003  ,2.034992190142e+000  ,5.000000000000e+000  
  5.107202425977e-003  ,2.041294157414e+000  ,5.000000000000e+000  
  5.108202448865e-003  ,2.047582730188e+000  ,5.000000000000e+000  
  5.109202471753e-003  ,2.053857936933e+000  ,5.000000000000e+000  
  5.110202494641e-003  ,2.060119806058e+000  ,5.000000000000e+000  
  5.111202517529e-003  ,2.066368365911e+000  ,5.000000000000e+000  
  5.112202540418e-003  ,2.072603644781e+000  ,5.000000000000e+000  
  5.113202563306e-003  ,2.078825670895e+000  ,5.000000000000e+000  
  5.114202586194e-003  ,2.085034472422e+000  ,5.000000000000e+000  
  5.115202609082e-003  ,2.091230077470e+000  ,5.000000000000e+000  
  5.116202631970e-003  ,2.097412514086e+000  ,5.000000000000e+000  
  5.117202654859e-003  ,2.103581810261e+000  ,5.000000000000e+000  
  5.118202677747e-003  ,2.109737993923e+000  ,5.000000000000e+000  
  5.119202700635e-003  ,2.115881092943e+000  ,5.000000000000e+000  
  5.120202723523e-003  ,2.122011135130e+000  ,5.000000000000e+000  
  5.121202746411e-003  ,2.128128148237e+000  ,5.000000000000e+000  
  5.122202769299e-003  ,2.134232159956e+000  ,5.000000000000e+000  
  5.123202792188e-003  ,2.140323197921e+000  ,5.000000000000e+000  
  5.124202815076e-003  ,2.146401289707e+000  ,5.000000000000e+000  
  5.125202837964e-003  ,2.152466462831e+000  ,5.000000000000e+000  
  5.126202860852e-003  ,2.158518744749e+000  ,5.000000000000e+000  
  5.127202883740e-003  ,2.164558162863e+000  ,5.000000000000e+000  
  5.128202906629e-003  ,2.170584744513e+000  ,5.000000000000e+000  
  5.129202929517e-003  ,2.176598516982e+000  ,5.000000000000e+000  
  5.130202952405e-003  ,2.182599507496e+000  ,5.000000000000e+000  
  5.131202975293e-003  ,2.188587743223e+000  ,5.000000000000e+000  
  5.132202998181e-003  ,2.194563251270e+000  ,5.000000000000e+000  
  5.133203021070e-003  ,2.200526058692e+000  ,5.000000000000e+000  
  5.134203043958e-003  ,2.206476192482e+000  ,5.000000000000e+000  
  5.135203066846e-003  ,2.212413679577e+000  ,5.000000000000e+000  
  5.136203089734e-003  ,2.218338546857e+000  ,5.000000000000e+000  
  5.137203112622e-003  ,2.224250821146e+000  ,5.000000000000e+000  
  5.138203135510e-003  ,2.230150529208e+000  ,5.000000000000e+000  
  5.139203158399e-003  ,2.236037697752e+000  ,5.000000000000e+000  
  5.140203181287e-003  ,2.241912353432e+000  ,5.000000000000e+000  
  5.141203204175e-003  ,2.247774522841e+000  ,5.000000000000e+000  
  5.142203227063e-003  ,2.253624232519e+000  ,5.000000000000e+000  
  5.143203249951e-003  ,2.259461508949e+000  ,5.000000000000e+000  
  5.144203272840e-003  ,2.265286378557e+000  ,5.000000000000e+000  
  5.145203295728e-003  ,2.271098867712e+000  ,5.000000000000e+000  
  5.146203318616e-003  ,2.276899002729e+000  ,5.000000000000e+000  
  5.147203341504e-003  ,2.282686809866e+000  ,5.000000000000e+000  
  5.148203364392e-003  ,2.288462315324e+000  ,5.000000000000e+000  
  5.149203387280e-003  ,2.294225545252e+000  ,5.000000000000e+000  
  5.150203410169e-003  ,2.299976525739e+000  ,5.000000000000e+000  
  5.151203433057e-003  ,2.305715282821e+000  ,5.000000000000e+000  
  5.152203455945e-003  ,2.311441842479e+000  ,5.000000000000e+000  
  5.153203478833e-003  ,2.317156230637e+000  ,5.000000000000e+000  
  5.154203501721e-003  ,2.322858473165e+000  ,5.000000000000e+000  
  5.155203524610e-003  ,2.328548595879e+000  ,5.000000000000e+000  
  5.156203547498e-003  ,2.334226624537e+000  ,5.000000000000e+000  
  5.157203570386e-003  ,2.339892584846e+000  ,5.000000000000e+000  
