  V_V1                 , V(D1:1)              , V(V1:+)              
  -5.000000000000e+000  ,-4.999993837727e+000  ,-5.000000000000e+000  
  -4.990000000000e+000  ,-4.989993839838e+000  ,-4.990000000000e+000  
  -4.980000000000e+000  ,-4.979993841950e+000  ,-4.980000000000e+000  
  -4.970000000000e+000  ,-4.969993844066e+000  ,-4.970000000000e+000  
  -4.960000000000e+000  ,-4.959993846184e+000  ,-4.960000000000e+000  
  -4.950000000000e+000  ,-4.949993848303e+000  ,-4.950000000000e+000  
  -4.940000000000e+000  ,-4.939993850427e+000  ,-4.940000000000e+000  
  -4.930000000000e+000  ,-4.929993852553e+000  ,-4.930000000000e+000  
  -4.920000000000e+000  ,-4.919993854681e+000  ,-4.920000000000e+000  
  -4.910000000000e+000  ,-4.909993856812e+000  ,-4.910000000000e+000  
  -4.900000000000e+000  ,-4.899993858945e+000  ,-4.900000000000e+000  
  -4.890000000000e+000  ,-4.889993861083e+000  ,-4.890000000000e+000  
  -4.880000000000e+000  ,-4.879993863220e+000  ,-4.880000000000e+000  
  -4.870000000000e+000  ,-4.869993865362e+000  ,-4.870000000000e+000  
  -4.860000000000e+000  ,-4.859993867507e+000  ,-4.860000000000e+000  
  -4.850000000000e+000  ,-4.849993869654e+000  ,-4.850000000000e+000  
  -4.840000000000e+000  ,-4.839993871804e+000  ,-4.840000000000e+000  
  -4.830000000000e+000  ,-4.829993873957e+000  ,-4.830000000000e+000  
  -4.820000000000e+000  ,-4.819993876110e+000  ,-4.820000000000e+000  
  -4.810000000000e+000  ,-4.809993878269e+000  ,-4.810000000000e+000  
  -4.800000000000e+000  ,-4.799993880430e+000  ,-4.800000000000e+000  
  -4.790000000000e+000  ,-4.789993882591e+000  ,-4.790000000000e+000  
  -4.780000000000e+000  ,-4.779993884757e+000  ,-4.780000000000e+000  
  -4.770000000000e+000  ,-4.769993886926e+000  ,-4.770000000000e+000  
  -4.760000000000e+000  ,-4.759993889097e+000  ,-4.760000000000e+000  
  -4.750000000000e+000  ,-4.749993891272e+000  ,-4.750000000000e+000  
  -4.740000000000e+000  ,-4.739993893448e+000  ,-4.740000000000e+000  
  -4.730000000000e+000  ,-4.729993895627e+000  ,-4.730000000000e+000  
  -4.720000000000e+000  ,-4.719993897811e+000  ,-4.720000000000e+000  
  -4.710000000000e+000  ,-4.709993899995e+000  ,-4.710000000000e+000  
  -4.700000000000e+000  ,-4.699993902183e+000  ,-4.700000000000e+000  
  -4.690000000000e+000  ,-4.689993904373e+000  ,-4.690000000000e+000  
  -4.680000000000e+000  ,-4.679993906567e+000  ,-4.680000000000e+000  
  -4.670000000000e+000  ,-4.669993908763e+000  ,-4.670000000000e+000  
  -4.660000000000e+000  ,-4.659993910963e+000  ,-4.660000000000e+000  
  -4.650000000000e+000  ,-4.649993913166e+000  ,-4.650000000000e+000  
  -4.640000000000e+000  ,-4.639993915368e+000  ,-4.640000000000e+000  
  -4.630000000000e+000  ,-4.629993917578e+000  ,-4.630000000000e+000  
  -4.620000000000e+000  ,-4.619993919788e+000  ,-4.620000000000e+000  
  -4.610000000000e+000  ,-4.609993922001e+000  ,-4.610000000000e+000  
  -4.600000000000e+000  ,-4.599993924218e+000  ,-4.600000000000e+000  
  -4.590000000000e+000  ,-4.589993926437e+000  ,-4.590000000000e+000  
  -4.580000000000e+000  ,-4.579993928658e+000  ,-4.580000000000e+000  
  -4.570000000000e+000  ,-4.569993930883e+000  ,-4.570000000000e+000  
  -4.560000000000e+000  ,-4.559993933113e+000  ,-4.560000000000e+000  
  -4.550000000000e+000  ,-4.549993935342e+000  ,-4.550000000000e+000  
  -4.540000000000e+000  ,-4.539993937577e+000  ,-4.540000000000e+000  
  -4.530000000000e+000  ,-4.529993939814e+000  ,-4.530000000000e+000  
  -4.520000000000e+000  ,-4.519993942055e+000  ,-4.520000000000e+000  
  -4.510000000000e+000  ,-4.509993944297e+000  ,-4.510000000000e+000  
  -4.500000000000e+000  ,-4.499993946542e+000  ,-4.500000000000e+000  
  -4.490000000000e+000  ,-4.489993948793e+000  ,-4.490000000000e+000  
  -4.480000000000e+000  ,-4.479993951043e+000  ,-4.480000000000e+000  
