  Frequency            , V(C1:2)              
  1.000000000000e+001  ,4.997821229328e+000  
  1.023292992281e+001  ,4.997718617297e+000  
  1.047128548051e+001  ,4.997611176083e+000  
  1.071519305238e+001  ,4.997498678747e+000  
  1.096478196143e+001  ,4.997380887718e+000  
  1.122018454302e+001  ,4.997257554295e+000  
  1.148153621497e+001  ,4.997128418133e+000  
  1.174897554940e+001  ,4.996993206701e+000  
  1.202264434617e+001  ,4.996851634714e+000  
  1.230268770812e+001  ,4.996703403540e+000  
  1.258925411794e+001  ,4.996548200585e+000  
  1.288249551693e+001  ,4.996385698639e+000  
  1.318256738556e+001  ,4.996215555205e+000  
  1.348962882592e+001  ,4.996037411787e+000  
  1.380384264603e+001  ,4.995850893150e+000  
  1.412537544623e+001  ,4.995655606549e+000  
  1.445439770746e+001  ,4.995451140917e+000  
  1.479108388168e+001  ,4.995237066023e+000  
  1.513561248436e+001  ,4.995012931586e+000  
  1.548816618912e+001  ,4.994778266351e+000  
  1.584893192461e+001  ,4.994532577130e+000  
  1.621810097359e+001  ,4.994275347788e+000  
  1.659586907438e+001  ,4.994006038193e+000  
  1.698243652462e+001  ,4.993724083118e+000  
  1.737800828749e+001  ,4.993428891088e+000  
  1.778279410039e+001  ,4.993119843188e+000  
  1.819700858610e+001  ,4.992796291802e+000  
  1.862087136663e+001  ,4.992457559315e+000  
  1.905460717963e+001  ,4.992102936741e+000  
  1.949844599758e+001  ,4.991731682301e+000  
  1.995262314969e+001  ,4.991343019942e+000  
  2.041737944670e+001  ,4.990936137778e+000  
  2.089296130854e+001  ,4.990510186479e+000  
  2.137962089502e+001  ,4.990064277583e+000  
  2.187761623950e+001  ,4.989597481734e+000  
  2.238721138568e+001  ,4.989108826852e+000  
  2.290867652768e+001  ,4.988597296222e+000  
  2.344228815320e+001  ,4.988061826499e+000  
  2.398832919019e+001  ,4.987501305634e+000  
  2.454708915685e+001  ,4.986914570717e+000  
  2.511886431510e+001  ,4.986300405723e+000  
  2.570395782769e+001  ,4.985657539167e+000  
  2.630267991895e+001  ,4.984984641674e+000  
  2.691534803927e+001  ,4.984280323437e+000  
  2.754228703338e+001  ,4.983543131581e+000  
  2.818382931264e+001  ,4.982771547422e+000  
  2.884031503127e+001  ,4.981963983616e+000  
  2.951209226666e+001  ,4.981118781201e+000  
  3.019951720402e+001  ,4.980234206521e+000  
  3.090295432514e+001  ,4.979308448035e+000  
  3.162277660168e+001  ,4.978339613009e+000  
  3.235936569296e+001  ,4.977325724082e+000  
  3.311311214826e+001  ,4.976264715707e+000  
  3.388441561392e+001  ,4.975154430466e+000  
  3.467368504525e+001  ,4.973992615254e+000  
  3.548133892336e+001  ,4.972776917331e+000  
  3.630780547701e+001  ,4.971504880239e+000  
  3.715352290972e+001  ,4.970173939584e+000  
  3.801893963206e+001  ,4.968781418677e+000  
  3.890451449943e+001  ,4.967324524045e+000  
  3.981071705535e+001  ,4.965800340793e+000  
  4.073802778041e+001  ,4.964205827831e+000  
  4.168693834703e+001  ,4.962537812970e+000  
  4.265795188016e+001  ,4.960792987863e+000  
  4.365158322402e+001  ,4.958967902830e+000  
  4.466835921510e+001  ,4.957058961533e+000  
  4.570881896149e+001  ,4.955062415534e+000  
  4.677351412872e+001  ,4.952974358715e+000  
  4.786300923226e+001  ,4.950790721588e+000  
  4.897788193684e+001  ,4.948507265482e+000  
  5.011872336273e+001  ,4.946119576631e+000  
